fecha,max,min
29-08-2016,28.4,20.0
01-09-2016,34.0,20.2
02-09-2016,37.2,20.5
03-09-2016,37.5,22.4
04-09-2016,38.4,21.5
05-09-2016,37.0,24.0
06-09-2016,37.0,21.8
08-09-2016,30.6,21.0
09-09-2016,31.7,20.2
12-09-2016,34.7,21.2
11-06-2017,37.5,20.4
12-06-2017,36.3,20.1
13-06-2017,37.4,20.6
14-06-2017,39.2,20.9
15-06-2017,35.7,22.1
16-06-2017,36.2,20.1
17-06-2017,37.2,20.8
18-06-2017,38.5,22.2
19-06-2017,37.6,22.2
20-06-2017,35.7,20.7
21-06-2017,37.8,22.0
22-06-2017,40.1,22.6
23-06-2017,38.3,21.7
24-06-2017,33.0,20.1
06-07-2017,30.0,21.2
12-07-2017,36.0,21.8
13-07-2017,35.0,20.2
17-07-2017,35.6,22.0
18-07-2017,34.7,22.0
19-07-2017,35.7,21.5
28-07-2017,36.6,21.3
29-07-2017,37.8,21.4
30-07-2017,38.9,22.3
31-07-2017,36.7,20.6
01-08-2017,33.8,20.1
02-08-2017,37.5,20.9
03-08-2017,39.5,22.9
04-08-2017,37.8,23.0
05-08-2017,33.7,20.2
07-08-2017,35.8,20.2
14-08-2017,36.5,20.2
15-08-2017,35.6,20.4
16-08-2017,33.4,20.0
18-08-2017,32.3,21.6
22-08-2017,37.9,20.9
23-08-2017,34.1,21.6
25-08-2017,35.6,20.5
26-08-2017,36.7,21.7
22-06-2018,32.9,21.0
27-06-2018,33.4,21.0
03-07-2018,34.1,21.3
04-07-2018,36.3,20.9
08-07-2018,34.1,20.3
